ref_prompt,output_prompt,match,index
multiple_columns_with_auto_coverage.yaml,multiple_columns_with_auto_coverage.yaml,True,31
header_description.yaml,header_description.yaml,True,32
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,33
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,34
deductible_with_auto_coverage.yaml,deductible_with_auto_coverage.yaml,True,35
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,36
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,37
waiting_period.yaml,waiting_period.yaml,True,38
deductible_with_twocoverage.yaml,deductible_with_twocoverage.yaml,True,39
deductible_with_twocoverage.yaml,deductible_with_twocoverage.yaml,True,40
retrained_limit.yaml,retrained_limit.yaml,True,41
retrained_limit.yaml,retrained_limit.yaml,True,42
new_subdeductible.yaml,new_subdeductible.yaml,True,43
new_subdeductible.yaml,new_subdeductible.yaml,True,44
tabular_under_tag.yaml,tabular_under_tag.yaml,True,45
tabular_under_tag.yaml,tabular_under_tag.yaml,True,46
new_under_header_tag.yaml,new_under_header_tag.yaml,True,47
new_under_header_tag.yaml,new_under_header_tag.yaml,True,48
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,49
retrained_limit.yaml,retrained_limit.yaml,True,50
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,51
header_description.yaml,header_description.yaml,True,52
under_headers_retrained-limits.yaml,under_headers_retrained-limits.yaml,True,53
ded_headertag.yaml,ded_headertag.yaml,True,54
waiting_period.yaml,waiting_period.yaml,True,55
waiting_period.yaml,waiting_period.yaml,True,56
waiting_period.yaml,waiting_period.yaml,True,57
deductible_with_sub-retention.yaml,deductible_with_sub-retention.yaml,True,58
tabular_under_tag.yaml,tabular_under_tag.yaml,True,59
tabular_under_tag.yaml,tabular_under_tag.yaml,True,60
header_description.yaml,header_description.yaml,True,61
header_description.yaml,header_description.yaml,True,62
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,63
retention_undertag.yaml,retention_undertag.yaml,True,64
header_description.yaml,header_description.yaml,True,65
header_description.yaml,header_description.yaml,True,66
header_description.yaml,header_description.yaml,True,67
tabular_under_tag.yaml,tabular_under_tag.yaml,True,68
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,69
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,70
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,71
new_under_header_tag.yaml,new_under_header_tag.yaml,True,72
new_under_header_tag.yaml,new_under_header_tag.yaml,True,73
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,74
deductible_with_auto_coverage.yaml,deductible_with_auto_coverage.yaml,True,75
under_tag-two-coverage.yaml,under_tag-two-coverage.yaml,True,76
subdeductible_with_coverage.yaml,retention_subdeductibles.yaml,False,77
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,78
new_subdeductible-1.yaml,new_subdeductible-1.yaml,True,79
under_tag-two-coverage.yaml,under_tag-two-coverage.yaml,True,80
deductible_with_vin_coverage.yaml,deductible_with_vin_coverage.yaml,True,81
deductible_with_vin_coverage.yaml,deductible_with_vin_coverage.yaml,True,82
new_under_header_tag.yaml,new_under_header_tag.yaml,True,83
under_tag-two-coverage.yaml,under_tag-two-coverage.yaml,True,84
under_tag-two-coverage.yaml,under_tag-two-coverage.yaml,True,85
multiple_deductible_with_coverages.yaml,multiple_deductible_with_coverages.yaml,True,86
multiple_deductible_with_coverages.yaml,multiple_deductible_with_coverages.yaml,True,87
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,88
multiple_deductible_with_coverages.yaml,multiple_deductible_with_coverages.yaml,True,89
deductible_with_vin_coverage.yaml,deductible_with_vin_coverage.yaml,True,90
description_coverage.yaml,description_coverage.yaml,True,91
description_coverage.yaml,description_coverage.yaml,True,92
single_retained_limit.yaml,single_retained_limit.yaml,True,93
retrained_limit.yaml,retrained_limit.yaml,True,94
retrained_limit.yaml,retrained_limit.yaml,True,95
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,96
deductible_with_section_coverage.yaml,deductible_with_section_coverage.yaml,True,97
deductible_with_section_coverage.yaml,deductible_with_section_coverage.yaml,True,98
new_subdeductible-1.yaml,new_subdeductible-1.yaml,True,99
only_coverage.yaml,only_coverage.yaml,True,100
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,101
deductible_with_auto_coverage.yaml,deductible_with_auto_coverage.yaml,True,102
deductible_with_auto_coverage.yaml,deductible_with_auto_coverage.yaml,True,103
only_coverage.yaml,only_coverage.yaml,True,104
under_tag-two-coverage.yaml,under_tag-two-coverage.yaml,True,105
only_hours.yaml,only_hours.yaml,True,106
horizontal_align_with_coverage.yaml,horizontal_align_with_coverage.yaml,True,107
only_hours.yaml,only_hours.yaml,True,108
deductible_with_vin_coverage.yaml,deductible_with_vin_coverage.yaml,True,109
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,110
only_coverage.yaml,only_coverage.yaml,True,111
description_coverage.yaml,description_coverage.yaml,True,112
new_waiting.yaml,new_waiting.yaml,True,113
horizontal_align_with_coverage.yaml,horizontal_align_with_coverage.yaml,True,114
ded_amount_in_coverage.yaml,ded_amount_in_coverage.yaml,True,115
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,116
under_tag-two-coverage.yaml,under_tag-two-coverage.yaml,True,117
header_description.yaml,header_description.yaml,True,118
header_description.yaml,header_description.yaml,True,119
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,120
under_header.yaml,under_header.yaml,True,121
under_tag-two-coverage.yaml,under_tag-two-coverage.yaml,True,122
subdeductible_with_section_coverage.yaml,subdeductible_with_section_coverage.yaml,True,123
subdeductible_with_section_coverage.yaml,subdeductible_with_section_coverage.yaml,True,124
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,125
subdeductible_with_section_coverage.yaml,subdeductible_with_section_coverage.yaml,True,126
subdeductible_with_section_coverage.yaml,subdeductible_with_section_coverage.yaml,True,127
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,128
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,129
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,130
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,131
horizontal_align_with_coverage.yaml,horizontal_align_with_coverage.yaml,True,132
tabular_under_tag.yaml,tabular_under_tag.yaml,True,133
tabular_under_tag.yaml,tabular_under_tag.yaml,True,134
deductible_undertag.yaml,deductible_undertag.yaml,True,135
header_test.yaml,header_test.yaml,True,136
retention_undertag.yaml,retention_undertag.yaml,True,137
retention_with_coverage.yaml,retention_with_coverage.yaml,True,138
retention_with_coverage.yaml,retention_with_coverage.yaml,True,139
under_header.yaml,under_header.yaml,True,140
new_waiting.yaml,new_waiting.yaml,True,141
retention_with_coverage.yaml,retention_with_coverage.yaml,True,142
retention_with_coverage.yaml,retention_with_coverage.yaml,True,143
retention_with_coverage.yaml,retention_with_coverage.yaml,True,144
retention_subdeductibles.yaml,retention_subdeductibles.yaml,True,145
new_under_header_tag.yaml,new_under_header_tag.yaml,True,146
retention_with_coverage.yaml,retention_with_coverage.yaml,True,147
new_under_header_tag.yaml,new_under_header_tag.yaml,True,148
retention_attachment.yaml,retention_attachment.yaml,True,149
for_coverage.yaml,for_coverage.yaml,True,150
subdeductibles_in_description.yaml,subdeductibles_in_description.yaml,True,151
only_hours.yaml,only_hours.yaml,True,152
retention_undertag.yaml,retention_undertag.yaml,True,153
header_test.yaml,header_test.yaml,True,154
header_test.yaml,header_test.yaml,True,155
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,156
header_test.yaml,header_test.yaml,True,157
top_header_retention.yaml,top_header_retention.yaml,True,158
header_test.yaml,header_test.yaml,True,159
header_test.yaml,header_test.yaml,True,160
deductible_unit.yaml,deductible_unit.yaml,True,161
deductible_auto_description.yaml,deductible_auto_description.yaml,True,162
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,163
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,164
tabular_under_tag.yaml,tabular_under_tag.yaml,True,165
tabular_under_tag.yaml,tabular_under_tag.yaml,True,166
tabular_under_tag.yaml,tabular_under_tag.yaml,True,167
tabular_under_tag.yaml,tabular_under_tag.yaml,True,168
tabular_under_tag.yaml,tabular_under_tag.yaml,True,169
retention_with_coverage.yaml,retention_with_coverage.yaml,True,170
retention_with_coverage.yaml,retention_with_coverage.yaml,True,171
deductible_with_percentage.yaml,deductible_with_percentage.yaml,True,172
tabular_under_tag.yaml,tabular_under_tag.yaml,True,173
header_test.yaml,header_test.yaml,True,174
headers_in_continuation_page.yaml,headers_in_continuation_page.yaml,True,175
headers_in_continuation_page.yaml,headers_in_continuation_page.yaml,True,176
headers_in_continuation_page.yaml,headers_in_continuation_page.yaml,True,177
headers_in_continuation_page.yaml,headers_in_continuation_page.yaml,True,178
headers_in_continuation_page.yaml,headers_in_continuation_page.yaml,True,179
headers_in_continuation_page.yaml,headers_in_continuation_page.yaml,True,180
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,181
under_headers_retrained-limits.yaml,under_headers_retrained-limits.yaml,True,182
indescription_subdeductible.yaml,indescription_subdeductible.yaml,True,183
sub_deductible_testing.yaml,sub_deductible_testing.yaml,True,184
top_header_retention.yaml,top_header_retention.yaml,True,185
SIR_coverage.yaml,SIR_coverage.yaml,True,186
indescription_subdeductible.yaml,indescription_subdeductible.yaml,True,187
indescription_subdeductible.yaml,indescription_subdeductible.yaml,True,188
indescription_subdeductible.yaml,indescription_subdeductible.yaml,True,189
retention_with_coverage.yaml,retention_with_coverage.yaml,True,190
retention_with_coverage.yaml,retention_with_coverage.yaml,True,191
retention_undertag.yaml,retention_undertag.yaml,True,192
retention_undertag.yaml,retention_undertag.yaml,True,193
retention_subdeductibles.yaml,retention_subdeductibles.yaml,True,194
retention_with_coverage.yaml,retention_with_coverage.yaml,True,195
header_test.yaml,header_test.yaml,True,196
header_test.yaml,header_test.yaml,True,197
header_test.yaml,header_test.yaml,True,198
deductible_undertag.yaml,deductible_undertag.yaml,True,199
retention_subdeductibles.yaml,retention_subdeductibles.yaml,True,200
under_header.yaml,under_header.yaml,True,201
split_in-line_amount.yaml,split_in-line_amount.yaml,True,202
options_deductibles.yaml,options_deductibles.yaml,True,203
retention_subdeductibles.yaml,retention_subdeductibles.yaml,True,204
retention_subdeductibles.yaml,retention_subdeductibles.yaml,True,205
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,206
under_header.yaml,under_header.yaml,True,207
deductible_extraction.yaml,deductible_extraction.yaml,True,208
deductible_extraction.yaml,deductible_extraction.yaml,True,209
deductible_extraction.yaml,deductible_extraction.yaml,True,210
deductible_extraction.yaml,deductible_extraction.yaml,True,211
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,212
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,213
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,214
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,215
deductible_with_coverage.yaml,deductible_with_coverage.yaml,True,216
subdeductible_with_coverage.yaml,subdeductible_with_coverage.yaml,True,217
new_subdeductible.yaml,new_subdeductible.yaml,True,218
retention_undertag.yaml,retention_undertag.yaml,True,219
multiple_columns_with_auto_coverage.yaml,multiple_columns_with_auto_coverage.yaml,True,220
multiple_columns_with_auto_coverage.yaml,multiple_columns_with_auto_coverage.yaml,True,221
deductible_with_auto_coverage.yaml,deductible_with_auto_coverage.yaml,True,222
multiple_columns_with_auto_coverage.yaml,multiple_columns_with_auto_coverage.yaml,True,223
multiple_columns_with_auto_coverage.yaml,multiple_columns_with_auto_coverage.yaml,True,224
multiple_columns_with_auto_coverage.yaml,multiple_columns_with_auto_coverage.yaml,True,225
multiple_columns_with_auto_coverage.yaml,multiple_columns_with_auto_coverage.yaml,True,226
multiple_columns_with_auto_coverage.yaml,multiple_columns_with_auto_coverage.yaml,True,227
